"","DATE","DAY","TIME 24 HOURS","BASE/SUB BASE","COUNTY","ROAD","PLACE","TYPE OF VEHICLE","BRIEF ACCIDENT DETAILS","GENDER","AGE","CAUSE CODE","VICTIM","NO.","id"
"337",2017-10-03,"TUESDAY","1745","KIRWARA POLICE STATION","MURANGA","THIKA-GATANGA","ENKASITY AREA","PRIVATE","THE VEHICLE HIT THE VICTIM","F","A",98,"PED",1,"968_20170501_20171231"
"338",2017-10-04,"WEDNESDAY","2100","NGOLIBA","KIAMBU","THIKA MATUU","KILIMAMBOGO","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","53",60,"PED",1,"976_20170501_20171231"
"339",2017-10-05,"THURSDAY","700","KARURI","KIAMBU","BANANA NAZARETH","BLACK PETAL","PRIVATE","THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM","M","42",7,"PED",1,"978_20170501_20171231"
"340",2017-10-05,"THURSDAY","2120","STAREHE","NAIROBI","THIKA SUPERHIGHWAY","MUTHAIGA","MOTOR CYCLE","HIT AND RUN","M","A",98,"PED",1,"979_20170501_20171231"
"341",2017-10-05,"THURSDAY","2020","INDO AREA","NAIROBI","MOMBASA ROAD","OLE SERANI","COMMERCIAL","THE VEHICLE LOST CONTROL AND LANDED ON THE OTHER SIDE OF THE ROAD","M","40",26,"DRV",1,"981_20170501_20171231"
"342",2017-10-05,"THURSDAY","1900","KANDARA","MURANGA","KANDARA KANGARI","GICHAGINI","PRIVATE","HEAD ON COLLISION","F","68",8,"PAS",1,"982_20170501_20171231"
"343",2017-10-05,"THURSDAY","2000","STAREHE","NAIROBI","MURANGA ROAD","DESAI JUNCTION","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"983_20170501_20171231"
"344",2017-10-05,"THURSDAY","1820","KIRIANI","MURANGA","KIRIANI KANGEMA","KANJAMA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"DRV",1,"984_20170501_20171231"
"345",2017-10-05,"THURSDAY","1800","TIGONI","KIAMBU","RIRONI KIMANDURA","RIRONI","MOTOR CYCLE","THE CYCLE LOST AND LANDED INTO THE DITCH","M","A",26,"MCY",1,"985_20170501_20171231"
"346",2017-10-05,"THURSDAY","1800","TIGONI","KIAMBU","RIRONI KIMANDURA","RIRONI","MOTOR CYCLE","THE CYCLE LOST AND LANDED INTO THE DITCH","M","A",26,"PIL",1,"986_20170501_20171231"
"347",2017-10-05,"THURSDAY","1800","KIKUYU","KIAMBU","SOUTHERN BY PASS","GITARU","PRIVATE","THE VEHICLE LOST CONTROL ANC ROLLED","M","A",26,"DRV",1,"987_20170501_20171231"
"348",2017-10-05,"THURSDAY","2020","MACHAKOS","MACHAKOS","NAIROBI MOMBASA","SBI AREA","PRIVATE & COMMERCIAL","THE TOYOTA RAMMED INTO THE TRUCK","M","A",98,"DRV",1,"988_20170501_20171231"
"349",2017-10-06,"FRIDAY","700","KARURI","KIAMBU","BANANA-NAZARETH","BLACK PETAL AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","42",7,"PED",1,"989_20170501_20171231"
"350",2017-10-06,"FRIDAY","2000","RUIRU","KIAMBU","EASTERN BY PAS","NEAR TOTAL PETROL STATION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","2",63,"PED",1,"992_20170501_20171231"
"351",2017-10-06,"FRIDAY","2045","LARI","KIAMBU","NAIVASHA-NAIROBI","KIMENDE STAGE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","60",61,"PED",1,"993_20170501_20171231"
"352",2017-10-06,"FRIDAY","200","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","NEAR STEEL PLANT","PSV & COMMERCIAL","HEAD ON COLLISION","M","A",26,"DRV",1,"994_20170501_20171231"
"353",2017-10-07,"SATURDAY","130","MATUU","MACHAKOS","THIKA-MATUU","NYS YATTA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",59,"PED",1,"995_20170501_20171231"
"354",2017-10-07,"SATURDAY","1730","KIKUYU","KIAMBU","NAIROBI-NAIVASHA","87 AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",68,"PED",1,"997_20170501_20171231"
"355",2017-10-07,"SATURDAY","950","KIAMBU","KIAMBU","NAIVASHA-NAIROBI","THINDIGUA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","60",61,"PED",1,"999_20170501_20171231"
"356",2017-10-07,"SATURDAY","600","INDO AREA","NAIROBI","SARE ROAD","GUTHERA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",26,"PED",1,"1001_20170501_20171231"
"357",2017-10-08,"SUNDAY","658","DTEO INDO AREA","NAIROBI","SARE ROAD","GUTHERA DRIVE","MOTOR CYCLE & PRIVATE","HEAD ON COLLISION","M","A",98,"MCY",1,"1002_20170501_20171231"
"358",2017-10-08,"SUNDAY","800","KIAMBU","KIAMBU","RUAKA KAHAWA WEST ROAD","NJATHAINI JUNCTION","PRIVATE","THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM","F","A",79,"PED",1,"1003_20170501_20171231"
"359",2017-10-08,"SUNDAY","1430","GITHUNGURI","KIAMBU","GITHUNGURI GAKOE ROAD","KATHIEKO AREA","MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",8,"MCY",1,"1005_20170501_20171231"
"360",2017-10-08,"SUNDAY","1430","GITHUNGURI","KIAMBU","GITHUNGURI GAKOE ROAD","KATHIEKO AREA","MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","A",8,"PIL",1,"1006_20170501_20171231"
"361",2017-10-08,"SUNDAY","1520","LARI","KIAMBU","NAIROBI MAIMAHIU","C CORNER","MOTOR CYCLE","THE CYCLE COLLIDED WITH THE TRAILER","M","A",8,"MCY",1,"1007_20170501_20171231"
"362",2017-10-08,"SUNDAY","1800","DTEO DAGORETI","NAIROBI","KAPENGURIA","UTHIRU R/ABOUT","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","45",16,"PED",1,"1008_20170501_20171231"
"363",2017-10-08,"SUNDAY","2130","KIKUYU","KIAMBU","NAIVASHA NAIROBI","MUTHIGA AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",68,"PED",1,"1010_20170501_20171231"
"364",2017-10-08,"SUNDAY","2100","DTEO LANGAT","NAIROBI","SOUTHERN BY PASS","NEAR LANGAT INTERCHANG","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","33",98,"PED",1,"1012_20170501_20171231"
"365",2017-10-09,"MONDAY","1725","LANGATA","NAIROBI","SOUTHERN BY PASS","NEAR DAGORETI-NDONYO INTERCHANGE","PRIVATE","THE VEHICLE LOST CONTROL VEERING OFF THE ROAD AND KNOCKED THE VICTIM","M","46",29,"PED",1,"1015_20170501_20171231"
"366",2017-10-09,"MONDAY","1730","KABETE","NAIROBI","WAIYAKI WAY","SODOM AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","7",98,"PED",1,"1016_20170501_20171231"
"367",2017-10-10,"TUESDAY","700","MAKUYU","MURANGA","NANYUKI NAIROBI","MUKEU","PRIVATE","THE VEHICLE GOT A TYRE BURST AND ROLLED SEVERAL TIMES","M","A",79,"PAS",2,"1019_20170501_20171231"
"368",2017-10-10,"TUESDAY","2245","THIKA","KIAMBU","THIKA  SUPERHIGHWAY","TROJAN","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","A",63,"PED",1,"1023_20170501_20171231"
"369",2017-10-12,"THURSDAY","1800","MURANGA","MURANGA","KANGEMA MURANGA","NEAR ST. MARYS CATHOLIC CHURCH","PRIVATE","THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM","M","25",7,"PED",1,"1030_20170501_20171231"
"370",2017-10-13,"FRIDAY","1830","JUJA SUB BASE","KIAMBU COUNTY","THIKA NAIROBI SUPERHIGHWAY","SERVICE LANE OPPOSITE JUJA POLICE STATION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","33",60,"PED",1,"1037_20170501_20171231"
"371",2017-10-13,"FRIDAY","2150","DTO EMBAKASI","NAIROBI","EASTERN BY PASS","NEAR CHINA,KENYA","MOTOR CYCLE & PRIVATE","THE VEHICLE KNOCKED DOWN THE M/CYCLIST","M","A",NA,"MCY",1,"1041_20170501_20171231"
"372",2017-10-13,"FRIDAY","415","DTO EMBAKASI","NAIROBI","OUTERING ROAD","NEAR TAJ MALL OVERPASS","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"1043_20170501_20171231"
"373",2017-10-14,"SATURDAY","530","THIKA","KIAMBU COUNTY","THIKA SUPER HIGHWAY","NEAR TROJAN PETROL STATION","PRIVATE & COMMERCIAL","THE SALOON RAMMED INTO THE TRAILER","M","A",29,"PAS",1,"1044_20170501_20171231"
"374",2017-10-14,"SATURDAY","1000","KIAMBU","KIAMBU","KIAMBU RUIRU","MWINGI KYUSO ROAD","PRIVATE","THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES","M","34",26,"DRV",1,"1046_20170501_20171231"
"375",2017-10-14,"SATURDAY","240","KARURI","KIAMBU","NAIROBI LIMURU","NDENDEERU","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","30",66,"PED",1,"1049_20170501_20171231"
"376",2017-10-15,"SUNDAY","500H","JUJA","KIAMBU","THIKA-NAIROBI SUPERHIGHWAY","NDARUGO","PRIVATE","SAID M/V LOSTCONTROL AND RAMMED INTO STATIONERY LORRY BY THE ROAD SIDE KILLING ALL 3 PASSENGERS IN THE CAR","M","A",8,"DRV",1,"1051_20170501_20171231"
"377",2017-10-15,"SUNDAY","500","JUJA","KIAMBU","THIKA-NAIROBI SUPERHIGHWAY","NDARUGO","PRIVATE","SAID M/V LOSTCONTROL AND RAMMED INTO STATIONERY LORRY BY THE ROAD SIDE KILLING ALL 3 PASSENGERS IN THE CAR","M","A",8,"PAS",3,"1052_20170501_20171231"
"378",2017-10-15,"SUNDAY","1950","JUJA","KIAMBU","THIKA-NAIROBI","HIGHPOINT AREA","PSV","VICTIM KNOCKED DOWN","M","52",7,"PED",1,"1058_20170501_20171231"
"379",2017-10-15,"SUNDAY","2320","DTEO DAGORETTI","NAIROBI","WAIYAKI WAY","UTHIRU MARKET","UNKNOWN","VICTIM KNOCKED DOWN","F/J","3",29,"PED",1,"1059_20170501_20171231"
"380",2017-10-15,"SUNDAY","2320","MURANG'A","MURANG'A","KAHURO RD","GAITEGA AREA","UNKNOWN","VICTIM KNOCKED DOWN","M","30",98,"PED",1,"1061_20170501_20171231"
"381",2017-10-15,"SUNDAY","300","DTEO KAYOLE","NAIROBI","KANGUNDO RD","CORNER MBAYA","UNKNOWN","VICTIM KNOCKED DOWN","M","A",98,"PED",1,"1063_20170501_20171231"
"382",2017-10-16,"MONDAY","900","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA ROAD","MLOLONGO WEIGHBRIDGE","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","F","A",61,"PED",1,"1065_20170501_20171231"
"383",2017-10-16,"MONDAY","1350","DTO INDO AREA","NAIROBI","LUSAKA ROAD","NEAR DT DOBIE STAGE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"1066_20170501_20171231"
"384",2017-10-18,"WEDNESDAY","1210","DTEO MAKONGENI","NAIROBI","RABAI ROAD","JUNCTION NEAR UHURU EASTATE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PED",1,"1074_20170501_20171231"
"385",2017-10-19,"THURSDAY","400","KAREN","NAIROBI","SOUTHERN BY PASS","OPPOSITE KAREN PLAINS","PRIVATE","THE VEHICLE LOST CONTROL AND COLLIDED HEAD ON WITH THE OTHER VEHICLE","M","A",26,"DRV",1,"1077_20170501_20171231"
"386",2017-10-19,"THURSDAY","2330","KIAMBU","KIAMBU","KAHAWA WEST RUIRU","KAMAE","TUKTUK","THE CYCLE LOST CONTROL AND ROLLED SEVERAL TIMES","M","A",26,"DRV",1,"1080_20170501_20171231"
"387",2017-10-21,"SATURDAY","1000","PARKLANDS","NAIROBI","MUTHITHI","MUTHITHI JUNCTION","MOTOR CYCLE & COMMERCIAL","M/V OVERRUNED  A RIDDER WHO DIED ON THE SPOT.","M","30",NA,"MCY",1,"1088_20170501_20171231"
"388",2017-10-21,"SATURDAY","1940","EMBAKASI","NAIROBI","OLD MOMBASA ROAD","SGR TERMINUS","GOVERNMENT & PEDAL CYCLE","THE POLICE M/V KNOCKED DOWN THE PEDAL CYCLIST KILLING HIM INSTANTLY","M",NA,NA,"PCY",1,"1090_20170501_20171231"
"389",2017-10-21,"SATURDAY","1110","JUJA","KIAMBU","JUJA FLY OVER","BARKLAYS BANK","MOTOR CYCLE","THE M/V KNOCKED DOWN THE M/CYCLIST WHO HAD LADY PILLION PASSENGER WHO PRONOUNCED DEAD ON REACHIN AT THE HOSPITAL.",NA,NA,NA,"MCY",1,"1092_20170501_20171231"
"390",2017-10-22,"SUNDAY","1830","MAKONGENI","NAIROBI","MOYALE","MOYALE LAMU JUNCTION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","35",NA,"PED",1,"1096_20170501_20171231"
"391",2017-10-22,"SUNDAY","1600","KIKUYU","KIAMBU","NAIROBI NAIVASHA","REGENT","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","32",68,"PED",1,"1099_20170501_20171231"
"392",2017-10-22,"SUNDAY","1640","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA ROAD","MOMBASA CEMENT","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"1100_20170501_20171231"
"393",2017-10-22,"SUNDAY","2140","EMBAKASI","NAIROBI","MOMBASA ROAD","GATEWAY MALL","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","F","26",NA,"PED",1,"1101_20170501_20171231"
"394",2017-10-22,"SUNDAY","2230","STAREHE","NAIROBI","WANGARI MATHAAI","SHIKH UNION","UNKNOWN","HIT AND RUN","M","34",NA,"PED",1,"1102_20170501_20171231"
"395",2017-10-22,"SUNDAY","2000","MACHAKOS","MACHAKOS","KATHEKAI","KATHEKAI","GOVERNMENT","THE VEHICLE LOST CONTROL AND OVERTURNED","M","A",NA,"DRV",1,"1105_20170501_20171231"
"396",2017-10-23,"MONDAY","1330","BURUBURU","NAIROBI","BARAKA ROAD","NEAR SUPA LOAF PRIMARY SCHOOL","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","58",98,"PED",1,"1110_20170501_20171231"
"397",2017-10-24,"TUESDAY","1700","NGOLIBA","KIAMBU","KILIMAMBOGA GITUAMBA MURRAM ROAD","AT NDURA AREA","COMMERCIAL","THE VICTIM FELL FROM THE TRACTOR AND WAS RAN OVER BY THE HINNO LORRY","M","42",10,"DRV",1,"1117_20170501_20171231"
"398",2017-10-25,"WEDNESDAY","1830","STAREHE","NAIROBI","JUJA ROAD","EASTLEIGH AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","8",98,"PED",1,"1125_20170501_20171231"
"399",2017-10-25,"WEDNESDAY","2200","KITENGELA","KAJIADO","KITENGELA ISINYA","NEAR KENYA POWER OFFICES","UNKNOWN","HIT AND RUN","M","35",98,"PED",1,"1127_20170501_20171231"
"400",2017-10-25,"WEDNESDAY","2230","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","NATION CENTRE","PRIVATE","THE VEHICLE LOST CONTROL AND HIT AN ELECTRIC FENCE","M","A",26,"DRV",1,"1128_20170501_20171231"
"401",2017-10-26,"THURSDAY","1600","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","SABAKI","COMMERCIAL","THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES","M","A",26,"PAS",1,"1132_20170501_20171231"
"402",2017-10-26,"THURSDAY","1600","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","SABAKI","COMMERCIAL","THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES","M","A",26,"PAS",1,"1133_20170501_20171231"
"403",2017-10-26,"THURSDAY","1300","DAGORETTI","NAIROBI","WAIYAKI","N MARKET","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"1135_20170501_20171231"
"404",2017-10-26,"THURSDAY","2050","MACHAKOS","MACHAKOS","MACHAKOS NAIROBI","KITHINI","PRIVATE & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",26,"MCY",1,"1137_20170501_20171231"
"405",2017-10-27,"FRIDAY","1630","THIKA","KIAMBU","THIKA-MATUU","MAGOGONI AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","42",60,"PED",1,"1139_20170501_20171231"
"406",2017-10-27,"FRIDAY","1920","KAREN","NAIROBI","DAGORETI ROAD","NEAR HUB SHOPPING MALL","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",29,"PED",1,"1141_20170501_20171231"
"407",2017-10-28,"SATURDAY","1640","GIGIRI","NAIROBI","WANGARI MATHAI","OPP MUSEUM","COMMERCIAL & MOTOR CYCLE","THE LORRY HIT THE MOTOR CYCLE","M","A",8,"MCY",1,"1144_20170501_20171231"
"408",2017-10-29,"SUNDAY","2230","KANGEMA","MURANGA","KIRIA-INI-KANGEMA","GAKIRA AREA","MOTOR CYCLE & COMMERCIAL","THE VEHICLE HIT THE MOTOR CYCLE","M","33",98,"MCY",1,"1153_20170501_20171231"
"409",2017-10-29,"SUNDAY","2030","DAGOREI","NAIROBI","WAIYAKI WAY","NEAR NAIROBI SCHOOL","PSV & MOTOR CYCLE","THE MOTOR CYCLE HIT THE BUS","M","A",45,"MCY",1,"1154_20170501_20171231"
"410",2017-10-29,"SUNDAY","2130","INDO AREA","NAIROBI","MOMBASA ROAD","BELLE VIEW AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"1156_20170501_20171231"
"411",2017-10-30,"MONDAY","430","EMBAKASI","NAIROBI","MOMBASA ROAD","AIRPORT TURN OFF","COMMERCIAL & PRIVATE","THE T/WISH RAMMED INTO THE TRAILLER WHICH WAS PARKED OFF THE ROAD","M","A",76,"DRV",1,"1158_20170501_20171231"
"412",2017-10-31,"TUESDAY","1745","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","MLOLONGO","COMMERCIAL","THE PERSON WHO WAS STEALING A RIDE FALL DOWN","M","A",72,"PAS",1,"1161_20170501_20171231"
"413",2017-11-01,"WEDNESDAY","530","GIGIRI","NAIROBI","WAIYAKI WAY","WESTLANDS","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","50",10,"PED",1,"1163_20170501_20171231"
"414",2017-11-02,"THURSDAY","1730","MATUU","MACHAKOS","KANYONYO-EMBU","KIYAA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"1170_20170501_20171231"
"415",2017-11-03,"FRIDAY","1700","STAREHE","NAIROBI","JUJA ROAD","KIBORO","COMMERCIAL","THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH","M","A",26,"DRV",1,"1176_20170501_20171231"
"416",2017-11-03,"FRIDAY","1500","NGOLIBA","KIAMBU","THIKA-MATUU","DUKA MOJA","PSV","THE BUS HIT A PEDAL CYCLE","M","17",47,"PCY",1,"1177_20170501_20171231"
"417",2017-11-04,"SATURDAY","920","KAYOLE","NAIROBI","KANGUNDO ROAD","MITI MOJA","MOTOR CYCLE & COMMERCIAL","HEAD ON COLLISION","M","A",26,"MCY",1,"1184_20170501_20171231"
"418",2017-11-04,"SATURDAY","820","KILIMANI","NAIROBI","MBAGATHI ROAD","DEFENCE MERORIAL HOSPITAL","UNKNOWN","HIT & RUN","M","A",98,"PED",1,"1185_20170501_20171231"
"419",2017-11-04,"SATURDAY","2100","RUIRU","KIAMBU","THIKA SUPER HIGHWAY","GITHURAI 45","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PED",1,"1186_20170501_20171231"
"420",2017-11-04,"SATURDAY","2210","JUJA","KIAMBU","THIKA SUPER HIGHWAY","NEAR RUIRU CAMPUS","GOVERNMENT","THE VEHICLE KNOCKED DOWN THE VICTIM","M","32",68,"PED",1,"1187_20170501_20171231"
"421",2017-11-04,"SATURDAY","2250","KABETE","NAIROBI","WAIYIAKI WAY","KANGEMI CENTER","UNKNOWN","HIT & RUN","F","A",98,"PED",1,"1190_20170501_20171231"
"422",2017-11-05,"SUNDAY","630","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR GENERAL MOTORS","UNKNOWN","HIT & RUN","M","A",98,"PED",1,"1191_20170501_20171231"
"423",2017-11-05,"SUNDAY","2136","ATHI RIVER","MACHAKOS","MOMBASA-NAIROBI","AT SABAKI AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"1197_20170501_20171231"
"424",2017-11-05,"SUNDAY","130","ONGATA RONGAI","KAJIADO","MAGADI ROAD","NEAR CHAPCHAP AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","40",63,"PED",1,"1198_20170501_20171231"
"425",2017-11-06,"MONDAY","1830","ONGATA RONGAI","KAJIADO","MAGADI ROAD","CHAPCHAP AREA","PSV & MOTOR CYCLE","THE VEHICLE RAMMED INTO THE MOTOR CYCLE","F","30",18,"PIL",1,"1204_20170501_20171231"
"426",2017-11-07,"TUESDAY","640","MAKUYU","MURANGA","KENOL-THIKA","MAKENJI AREA","GOVERNMENT","THE VEHICLE GOT A TYRE BURST AND LOSE CONTROL HITTING ROAD SIDE RAILS WHICH PIERCED THROUGH THE VEHICLE. AS A RESULT NYERI COUNTY GOVERNOR DR. PATRICK WAHOME GAKURU WAS SERIOUSLY INJURED AND SUCCUMBED WHILE UNDERGOING TREATMENT AT THIKA LEVEL 5 HOSPITAL","M","A",98,"PAS",1,"1210_20170501_20171231"
"427",2017-11-08,"WEDNESDAY","730","CENTRAL","NAIROBI","GLOBE ROUND ABOUT SLIP ROAD","GLOBE ROUND ABOUT","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","38",60,"PED",1,"1213_20170501_20171231"
"428",2017-11-08,"WEDNESDAY","1730","THIKA","KIAMBU","THIKA SUPERHIGH WAY","JOMOKO AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","9",68,"PED",1,"1216_20170501_20171231"
"429",2017-11-08,"WEDNESDAY","1830","KILIMANI","NAIROBI","NYERERE ROAD","NEAR SERENA HOTEL","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","69",60,"PED",1,"1218_20170501_20171231"
"430",2017-11-09,"THURSDAY","730","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","LUKENYA","COMMERCIAL & PRIVATE","HEAD ON COLLISION","M","A",10,"PAS",2,"1220_20170501_20171231"
"431",2017-11-09,"THURSDAY","730","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","LUKENYA","COMMERCIAL & PRIVATE","HEAD ON COLLISION","M","A",10,"DRV",1,"1221_20170501_20171231"
"432",2017-11-09,"THURSDAY","800","BURUBURU","NAIROBI","LUNGALUNGA ROAD","PETE ROAD JUCTION","COMMERCIAL","THE LORRY HIT A PEDAL CYCLIST","M","74",98,"PCY",1,"1222_20170501_20171231"
"433",2017-11-10,"FRIDAY","730","MURANGA","MURANGA","KAHURO-GATUYA","KIAYATA","MOTOR CYCLE","THE MOTOR CYCLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"1228_20170501_20171231"
"434",2017-11-10,"FRIDAY","730","KAJIADO","KAJIADO","KIBIKO ROAD","KIBIKO","MOTOR CYCLE","HEAD ON COLLISION","M","A",37,"PIL",1,"1230_20170501_20171231"
"435",2017-11-10,"FRIDAY","2000","DTEO MAKONGENI","NAIROBI","JOGOO ROAD","BURMA STAGE","PRIVATE & PEDAL CYCLE","THE VEHICLE RAMMED INTO THE PEDAL CYCLE","M","27",8,"PCY",1,"1233_20170501_20171231"
"436",2017-11-10,"FRIDAY","300","DTEO KAREN","NAIROBI","NGONG ROAD","RACECOURSE","UNKNOWN","HIT & RUN","M","49",98,"PED",1,"1234_20170501_20171231"
"437",2017-11-11,"SATURDAY","1600","INDO AREA","NAIROBI","ENTERPRISE","ROAD C JUNCTION","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","19",63,"PED",1,"1237_20170501_20171231"
"438",2017-11-11,"SATURDAY","1500","KASARANI","NAIROBI","THIKA SUPER HIGHWAY","NEAR KASTEMIL PRIMARY SCHOOL","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","10",63,"PED",1,"1238_20170501_20171231"
"439",2017-11-12,"SUNDAY","2030","THIKA","KIAMBU","THIKA GARISSA","LANDLESS AREA","PRIVATE","THE VEHIC;E KNOCKED DOWN THE VICTIM","F","42",68,"PED",1,"1244_20170501_20171231"
"440",2017-11-12,"SUNDAY","1230","KAYOLE","NAIROBI","KANGUNDO","CHOKAA TRADING CENTRE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","25",NA,"PED",1,"1246_20170501_20171231"
"441",2017-11-12,"SUNDAY","2030","THIKA","KIAMBU","THIKA GARISSA","LANDLESS AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","42",68,"PED",1,"1251_20170501_20171231"
"442",2017-11-12,"SUNDAY","UNKNOWN TIME","MURANGA","MURANGA","MURANGA SAGANA","NOKRAS RIVERINE HOTEL","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"1255_20170501_20171231"
"443",2017-11-12,"SUNDAY","245","RUIRU","KIAMBU","THIA SUPER HIGHWAY","KENYATTA UNIVERSITY","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"1258_20170501_20171231"
"444",2017-11-13,"MONDAY","2045","KIKUYU","KIAMBU","KIKUYU WANGIGE","NGWACHII","MOTOR CYCLE & COMMERCIAL","THE CYCLE LOST CONTROL AND WAS HIT BY THE LORRY","M","A",26,"M/CYCLIST",1,"1265_20170501_20171231"
"445",2017-11-15,"WEDNESDAY","1800","CANTRAL","NAIROBI","KIRINYAGA","KIRINYAGA","PSV","THE VICTIM WAS SANDWITCHED BETWEEN TWO VEHICLES","M","J",8,"PAS",1,"1270_20170501_20171231"
"446",2017-11-15,"WEDNESDAY","1330","KAJIADO","KAJIADO","ISINYA KISERIAN","PCEA CHURCH","COMMERCIAL & MOTOR CYCLE","THE CYCLE LOST CONTROL AND FELL DOWN AND WAS OVERAN BY THE LORRY","M","43",26,"MCY",1,"1273_20170501_20171231"
"447",2017-11-15,"WEDNESDAY","1940","KABETE","KIAMBU","KINGEERO LOWER KIABETE","NDONGORO","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",8,"PED",1,"1274_20170501_20171231"
"448",2017-11-16,"THURSDAY","630","DTEO GIGIRI","NAIROBI","PARKLANDS ROAD","NEAR K1 CLUB","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"1277_20170501_20171231"
"449",2017-11-16,"THURSDAY","730","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","PRIMA ROSA AREA","COMMERCIAL & PRIVATE","HEAD ON COLLISION","M","A",10,"PAS",1,"1278_20170501_20171231"
